Date,SP500,DJIA,NASDAQ,NIKKEI,HSI,SH,TWII,yield_spread
2015-01-13,2023.03,17613.68,4661.5,17087.71,24215.970703125,3235.301025390625,9231.7998046875,1.3699999999999999
2015-01-14,2011.27,17427.09,4639.32,16795.96,24112.599609375,3222.43701171875,9180.23046875,1.35
2015-01-15,1992.67,17320.71,4570.82,17108.7,24350.91015625,3336.455078125,9165.08984375,1.33
2015-01-16,2019.42,17511.57,4634.38,16864.16,24103.51953125,3376.4951171875,9138.2900390625,1.34
2015-01-19,,,,17014.29,23738.490234375,3116.35107421875,9174.0595703125,
2015-01-20,2022.55,17515.23,4654.85,17366.3,23951.16015625,3173.052001953125,9251.6904296875,1.29
2015-01-21,2032.12,17554.28,4667.42,17280.48,24352.580078125,3323.611083984375,9319.7099609375,1.34
2015-01-22,2063.15,17813.98,4750.4,17329.02,24522.630859375,3343.343994140625,9369.509765625,1.3699999999999999
2015-01-23,2051.82,17672.6,4757.88,17511.75,24850.44921875,3351.763916015625,9470.9404296875,1.29
2015-01-26,2057.09,17678.7,4771.76,17468.52,24909.900390625,3383.181884765625,9477.669921875,1.29
2015-01-27,2029.55,17387.21,4681.5,17768.3,24807.279296875,3352.9599609375,9521.58984375,1.29
2015-01-28,2002.16,17191.37,4637.99,17795.73,24861.810546875,3305.738037109375,9510.919921875,1.23
2015-01-29,2021.25,17416.85,4683.41,17606.22,24595.849609375,3262.304931640625,9426.900390625,1.26
2015-01-30,1994.99,17164.95,4635.24,17674.39,24507.05078125,3210.363037109375,9361.91015625,1.21
2015-02-02,2020.85,17361.04,4676.69,17558.04,24484.740234375,3128.300048828125,9386.990234375,1.19
2015-02-03,2050.03,17666.4,4727.74,17335.85,24554.779296875,3204.906982421875,9448.73046875,1.27
2015-02-04,2041.51,17673.02,4716.7,17678.74,24679.759765625,3174.1259765625,9513.919921875,1.29
2015-02-05,2062.52,17884.88,4765.1,17504.62,24765.490234375,3136.531005859375,9512.0498046875,1.31
2015-02-06,2055.47,17824.29,4744.4,17648.5,24679.390625,3075.906982421875,9456.1796875,1.2999999999999998
2015-02-09,2046.74,17729.21,4726.01,17711.93,24521.0,3095.1240234375,9421.5,1.31
2015-02-10,2068.59,17868.76,4787.64,17652.68,24528.099609375,3141.593017578125,9393.7001953125,1.3399999999999999
2015-02-11,2068.53,17862.14,4801.18,,24315.01953125,3157.7041015625,9462.2197265625,1.33
2015-02-12,2088.48,17972.38,4857.61,17979.72,24422.150390625,3173.416015625,9496.3095703125,1.38
2015-02-13,2096.99,18019.35,4893.84,17913.36,24682.5390625,3203.826904296875,9529.509765625,1.3599999999999999
2015-02-16,,,,18004.77,24726.529296875,3222.363037109375,,
2015-02-17,2100.34,18047.58,4899.27,17987.09,24784.880859375,3246.906005859375,,1.4400000000000002
2015-02-18,2099.68,18029.85,4906.36,18199.17,24832.080078125,,,1.4499999999999997
2015-02-19,2097.45,17985.77,4924.7,18264.79,,,,1.44
2015-02-20,2110.3,18140.44,4955.97,18332.3,,,,1.46
2015-02-23,2109.66,18116.84,4960.97,18466.92,24836.759765625,,,1.42
2015-02-24,2115.48,18209.19,4968.12,18603.48,24750.0703125,,9629.3701171875,1.3900000000000001
2015-02-25,2113.86,18224.57,4967.14,18585.2,24778.279296875,3228.843017578125,9699.5400390625,1.35
2015-02-26,2110.74,18214.42,4987.89,18785.79,24902.060546875,3298.35888671875,9622.099609375,1.3699999999999997
2015-02-27,2104.5,18132.7,4963.53,18797.94,24823.2890625,3310.302978515625,,1.37
2015-03-02,2117.39,18288.63,5008.1,18826.88,24887.439453125,3336.284912109375,9601.3603515625,1.42
2015-03-03,2107.78,18203.37,4979.9,18815.16,24702.779296875,3263.052001953125,9605.76953125,1.44
2015-03-04,2098.53,18096.9,4967.14,18703.6,24465.380859375,3279.532958984375,9621.73046875,1.46
2015-03-05,2101.04,18135.72,4982.81,18751.84,24193.0390625,3248.47607421875,9595.08984375,1.46
2015-03-06,2071.26,17856.78,4927.37,18971.0,24164.0,3241.18701171875,9645.76953125,1.5100000000000002
2015-03-09,2079.43,17995.72,4942.44,18790.55,24123.05078125,3302.407958984375,9562.98046875,1.5000000000000002
2015-03-10,2044.16,17662.94,4859.79,18665.11,23896.98046875,3286.068115234375,9536.5302734375,1.4400000000000002
2015-03-11,2040.24,17635.39,4849.94,18723.52,23717.970703125,3290.89990234375,9523.1796875,1.41
2015-03-12,2065.95,17895.22,4893.29,18991.11,23797.9609375,3349.322998046875,9596.0,1.4300000000000002
2015-03-13,2053.4,17749.31,4871.76,19254.25,23823.2109375,3372.910888671875,9579.349609375,1.4499999999999997
2015-03-16,2081.19,17977.42,4929.51,19246.06,23949.55078125,3449.304931640625,9512.91015625,1.44
2015-03-17,2074.28,17849.08,4937.43,19437.0,23901.490234375,3502.846923828125,9539.4404296875,1.36
2015-03-18,2099.5,18076.19,4982.83,19544.48,24120.080078125,3577.301025390625,9653.4296875,1.3599999999999999
2015-03-19,2089.27,17959.03,4992.38,19476.56,24468.890625,3582.27099609375,9736.73046875,1.35
2015-03-20,2108.1,18127.65,5026.42,19560.22,24375.240234375,3617.318115234375,9749.6904296875,1.33
2015-03-23,2104.42,18116.04,5010.97,19754.36,24494.509765625,3687.72802734375,9758.08984375,1.3199999999999998
2015-03-24,2091.5,18011.14,4994.73,19713.45,24399.599609375,3691.409912109375,9731.66015625,1.2999999999999998
2015-03-25,2061.05,17718.54,4876.52,19746.2,24528.23046875,3660.72705078125,9667.830078125,1.3399999999999999
2015-03-26,2056.15,17678.23,4863.36,19471.12,24497.080078125,3682.094970703125,9619.1201171875,1.4
2015-03-27,2061.02,17712.66,4891.22,19285.63,24486.19921875,3691.095947265625,9503.7197265625,1.37
2015-03-30,2086.24,17976.31,4947.44,19411.4,24855.119140625,3786.568115234375,9521.8701171875,1.38
2015-03-31,2067.89,17776.12,4900.89,19206.99,24900.890625,3747.89892578125,9586.4404296875,1.38
2015-04-01,2059.69,17698.18,4880.23,19034.84,25082.75,3810.2939453125,9507.66015625,1.32
2015-04-02,2066.96,17763.24,4886.94,19312.79,25275.640625,3825.783935546875,9600.3203125,1.3699999999999999
2015-04-03,,,,19435.08,,3863.928955078125,,1.36
2015-04-06,2080.62,17880.85,4917.32,19397.98,,,,1.41
2015-04-07,2076.33,17875.42,4910.23,19640.54,,3961.3779296875,9641.900390625,1.3699999999999999
2015-04-08,2081.9,17902.51,4950.82,19789.81,26236.859375,3994.81103515625,9571.9697265625,1.38
2015-04-09,2091.18,17958.73,4974.56,19937.72,26944.390625,3957.533935546875,9568.0400390625,1.41
2015-04-10,2102.06,18057.65,4995.98,19907.63,27272.390625,4034.31005859375,9617.7001953125,1.3900000000000001
2015-04-13,2092.43,17977.04,4988.25,19905.46,28016.33984375,4121.71484375,9666.51953125,1.4
2015-04-14,2095.84,18036.7,4977.29,19908.68,27561.490234375,4135.56494140625,9642.2197265625,1.3699999999999999
2015-04-15,2106.63,18112.61,5011.02,19869.76,27618.8203125,4084.1630859375,9540.0595703125,1.4
2015-04-16,2104.99,18105.77,5007.79,19885.77,27739.7109375,4194.8232421875,9656.8701171875,1.4
2015-04-17,2081.18,17826.3,4931.81,19652.88,27653.119140625,4287.2958984375,9570.9296875,1.36
2015-04-20,2100.4,18034.93,4994.6,19634.49,27094.9296875,4217.0771484375,9552.849609375,1.3499999999999999
2015-04-21,2097.29,17949.59,5014.1,19909.09,27850.490234375,4293.623046875,9533.98046875,1.3699999999999999
2015-04-22,2107.96,18038.27,5035.17,20133.9,27933.849609375,4398.494140625,9613.0,1.42
2015-04-23,2112.93,18058.69,5056.06,20187.65,27827.69921875,4414.5078125,9797.490234375,1.41
2015-04-24,2117.69,18080.14,5092.08,20020.04,28060.98046875,4393.68603515625,9913.2802734375,1.39
2015-04-27,2108.92,18037.97,5060.25,19983.32,28433.58984375,4527.39599609375,9973.1201171875,1.4
2015-04-28,2114.76,18110.14,5055.42,20058.95,28442.75,4476.21484375,9956.830078125,1.44
2015-04-29,2106.85,18035.53,5023.64,,28400.33984375,4476.6201171875,9853.830078125,1.5
2015-04-30,2085.51,17840.52,4941.42,19520.01,28133.0,4441.65478515625,9820.0498046875,1.4699999999999998
2015-05-01,2108.29,18024.06,5005.39,19531.63,,,,1.52
2015-05-04,2114.49,18070.4,5016.93,,28123.8203125,4480.4638671875,9845.0400390625,1.56
2015-05-05,2089.46,17928.2,4939.33,,27755.5390625,4298.7060546875,9820.1298828125,1.5699999999999998
2015-05-06,2080.15,17841.98,4919.64,,27640.91015625,4229.26611328125,9818.2001953125,1.6
2015-05-07,2088.0,17924.06,4945.54,19291.99,27289.970703125,4112.2138671875,9704.1103515625,1.5500000000000003
2015-05-08,2116.1,18191.11,5003.55,19379.19,27577.33984375,4205.9169921875,9692.0,1.5700000000000003
2015-05-11,2105.33,18105.17,4993.57,19620.91,27718.19921875,4333.583984375,9663.7197265625,1.6599999999999997
2015-05-12,2099.12,18068.23,4976.19,19624.84,27407.1796875,4401.21923828125,9680.73046875,1.67
2015-05-13,2098.48,18060.49,4981.69,19764.72,27249.279296875,4375.759765625,9724.1103515625,1.6800000000000002
2015-05-14,2121.1,18252.24,5050.8,19570.24,27286.55078125,4378.31103515625,9610.830078125,1.67
2015-05-15,2122.73,18272.56,5048.29,19732.92,27822.279296875,4308.69091796875,9579.48046875,1.59
2015-05-18,2129.2,18298.88,5078.44,19890.27,27591.25,4283.4912109375,9606.099609375,1.65
2015-05-19,2127.83,18312.39,5070.03,20026.38,27693.5390625,4417.5517578125,9716.76953125,1.6400000000000001
2015-05-20,2125.85,18285.4,5071.74,20196.56,27585.05078125,4446.2880859375,9685.3095703125,1.6599999999999997
2015-05-21,2130.82,18285.74,5090.79,20202.87,27523.720703125,4529.421875,9578.5595703125,1.5899999999999999
2015-05-22,2126.06,18232.02,5089.36,20264.41,27992.830078125,4657.59619140625,9638.7998046875,1.5699999999999998
2015-05-25,,,,20413.77,,4813.7978515625,9645.169921875,
2015-05-26,2104.2,18041.54,5032.75,20437.48,28249.859375,4910.89697265625,9669.41015625,1.5
2015-05-27,2123.48,18162.99,5106.59,20472.58,28081.2109375,4941.7138671875,9693.5400390625,1.5
2015-05-28,2120.79,18126.12,5097.98,20551.46,27454.310546875,4620.26611328125,9712.83984375,1.5099999999999998
2015-05-29,2107.39,18010.68,5070.03,20563.15,27424.189453125,4611.744140625,9701.0703125,1.5100000000000002
2015-06-01,2111.73,18040.37,5082.93,20569.87,27597.16015625,4828.73779296875,9625.6904296875,1.5499999999999998
2015-06-02,2109.6,18011.94,5076.52,20543.19,27466.720703125,4910.52685546875,9614.259765625,1.63
2015-06-03,2114.07,18076.27,5099.23,20473.51,27657.470703125,4909.97802734375,9556.51953125,1.69
2015-06-04,2095.84,17905.58,5059.12,20488.19,27551.890625,4947.10205078125,9348.6298828125,1.65
2015-06-05,2092.83,17849.46,5068.46,20460.9,27260.16015625,5023.09619140625,9340.1298828125,1.6800000000000002
2015-06-08,2079.28,17766.55,5021.63,20457.19,27316.279296875,5131.880859375,9368.4296875,1.6900000000000002
2015-06-09,2080.15,17764.04,5013.87,20096.3,26989.51953125,5113.5341796875,9191.8701171875,1.7
2015-06-10,2105.2,18000.4,5076.69,20046.36,26687.640625,5106.0361328125,9298.5,1.75
2015-06-11,2108.86,18039.37,5082.51,20382.97,26907.849609375,5121.5927734375,9302.490234375,1.6600000000000001
