Year,Rank,Club,Total Passes
2008/2009,7.0,Tottenham,"15,723"
2007/2008,5.0,Tottenham,"15,466"
2006/2007,5.0,Tottenham,"14,914"
2021/2022,17.0,Watford,"13,046"
2019/2020,17.0,Watford,"14,067"
2018/2019,14.0,Watford,"15,462"
2017/2018,10.0,Watford,"15,654"
2016/2017,15.0,Watford,"14,049"
2015/2016,15.0,Watford,"14,531"
2006/2007,20.0,Watford,"10,175"
2020/2021,20.0,West Brom,"12,389"
2017/2018,19.0,West Brom,"13,218"
2016/2017,20.0,West Brom,"11,821"
2015/2016,20.0,West Brom,"12,262"
2014/2015,15.0,West Brom,"14,445"
2013/2014,14.0,West Brom,"14,717"
2012/2013,13.0,West Brom,"14,392"
2011/2012,13.0,West Brom,"14,691"
2010/2011,13.0,West Brom,"14,252"
2008/2009,10.0,West Brom,"14,537"
2023/2024,15.0,West Ham,"14,732"
2022/2023,16.0,West Ham,"14,638"
2021/2022,11.0,West Ham,"16,579"
2020/2021,15.0,West Ham,"15,152"
2019/2020,13.0,West Ham,"15,101"
2018/2019,11.0,West Ham,"16,358"
2017/2018,16.0,West Ham,"14,369"
2016/2017,13.0,West Ham,"15,134"
2015/2016,14.0,West Ham,"15,031"
2014/2015,18.0,West Ham,"13,568"
2013/2014,19.0,West Ham,"12,380"
2012/2013,18.0,West Ham,"12,611"
2010/2011,17.0,West Ham,"13,367"
2009/2010,10.0,West Ham,"14,630"
2008/2009,8.0,West Ham,"15,356"
2007/2008,8.0,West Ham,"13,773"
2006/2007,9.0,West Ham,"13,189"
2012/2013,7.0,Wigan,"17,941"
2011/2012,9.0,Wigan,"15,731"
2010/2011,8.0,Wigan,"15,180"
2009/2010,9.0,Wigan,"14,758"
2008/2009,17.0,Wigan,"12,346"
2007/2008,17.0,Wigan,"11,684"
2006/2007,17.0,Wigan,"11,353"
2023/2024,11.0,Wolves,"17,636"
2022/2023,9.0,Wolves,"16,712"
2021/2022,9.0,Wolves,"17,517"
2020/2021,12.0,Wolves,"17,522"
2019/2020,10.0,Wolves,"16,764"
2018/2019,9.0,Wolves,"16,618"
2011/2012,12.0,Wolves,"14,860"
2010/2011,10.0,Wolves,"14,823"
2009/2010,15.0,Wolves,"13,037"
