Player Name,Age,Market value,Left,Fee,Year,Club,Position
Boaz Myhill,20,-,Macclesfield,"End of loanSep 1, 2003",2003,Aston Villa,goalkeeper
Luke Moore,17,-,Wycombe,"End of loanJan 11, 2004",2003,Aston Villa,forward
Bosko Balaban,24,-,Dinamo Zagreb,"End of loanJun 30, 2003",2003,Aston Villa,forward
Marcus Allbäck,28,-,Heerenveen,€3.00m,2002,Aston Villa,forward
Ulises de la Cruz,28,-,Hibernian FC,€2.70m,2002,Aston Villa,defender
Stefan Postma,25,-,De Graafschap,€2.23m,2002,Aston Villa,goalkeeper
Mark Kinsella,29,-,Charlton,€1.15m,2002,Aston Villa,midfielder
Øyvind Leonhardsen,31,-,Tottenham,free transfer,2002,Aston Villa,midfielder
Michael Boulding,26,-,Grimsby Town,free transfer,2002,Aston Villa,forward
Ronny Johnsen,33,-,Man Utd,free transfer,2002,Aston Villa,defender
Joey Gudjónsson,22,-,Real Betis,loan transfer,2002,Aston Villa,midfielder
Peter Whittingham,17,-,Aston Villa U18,-,2002,Aston Villa,midfielder
Liam Ridgewell,18,-,Aston Villa Res.,-,2002,Aston Villa,defender
Colin Marshall,17,-,Aston Villa U18,-,2002,Aston Villa,midfielder
Boaz Myhill,19,-,Aston Villa Res.,-,2002,Aston Villa,goalkeeper
Michael Husbands,18,-,Aston Villa U18,-,2002,Aston Villa,forward
Stefan Moore,18,-,Aston Villa U18,-,2002,Aston Villa,forward
Peter Hynes,18,-,Aston Villa U18,-,2002,Aston Villa,forward
Keith Fahey,19,-,Aston Villa U18,-,2002,Aston Villa,midfielder
Gavin Melaugh,20,-,Aston Villa U18,-,2002,Aston Villa,midfielder
Gavin Melaugh,21,-,Rochdale,"End of loanMay 4, 2003",2002,Aston Villa,midfielder
Michael Boulding,26,-,Sheff Utd,"End of loanNov 1, 2002",2002,Aston Villa,forward
Michael Husbands,19,-,Hereford Utd.,"End of loanMay 1, 2003",2002,Aston Villa,forward
Boaz Myhill,19,-,Bristol City,"End of loanOct 1, 2002",2002,Aston Villa,goalkeeper
Boaz Myhill,20,-,Bradford,"End of loanDec 31, 2002",2002,Aston Villa,goalkeeper
John McGrath,23,-,Dag & Red FC,"End of loanMay 1, 2003",2002,Aston Villa,midfielder
Bosko Balaban,22,-,Dinamo Zagreb,€7.80m,2001,Aston Villa,forward
Peter Crouch,21,-,Portsmouth,€7.50m,2001,Aston Villa,forward
Olof Mellberg,23,-,Racing,€6.80m,2001,Aston Villa,defender
Mustapha Hadji,29,-,Coventry,€4.00m,2001,Aston Villa,midfielder
Wayne Henderson,17,-,Cherry Orchard FC,free transfer,2001,Aston Villa,goalkeeper
Hassan Kachloul,28,-,Southampton,free transfer,2001,Aston Villa,midfielder
Peter Schmeichel,37,-,Sporting CP,free transfer,2001,Aston Villa,goalkeeper
David Scullion,17,-,Aston Villa U18,-,2001,Aston Villa,midfielder
Rob Edwards,18,-,Aston Villa U18,-,2001,Aston Villa,defender
Neil Tarrant,22,-,Motherwell FC,"End of loanOct 1, 2001",2001,Aston Villa,forward
Jlloyd Samuel,20,-,Gillingham FC,"End of loanDec 31, 2001",2001,Aston Villa,midfielder
Dion Dublin,33,-,Millwall,"End of loanMay 3, 2002",2001,Aston Villa,forward
Richard Walker,24,-,Wycombe,"End of loanDec 1, 2001",2001,Aston Villa,forward
Thomas Hitzlsperger,19,-,Chesterfield FC,"End of loanDec 10, 2001",2001,Aston Villa,midfielder
Stephen Cooke,19,-,Bournemouth,"End of loanMay 1, 2002",2001,Aston Villa,midfielder
Juan Pablo Ángel,25,-,River Plate,€14.40m,2000,Aston Villa,forward
Alpay Özalan,27,-,Siirt Jetpa,€6.72m,2000,Aston Villa,defender
Thomas Hitzlsperger,18,-,FC Bayern U19,free transfer,2000,Aston Villa,midfielder
Steve Staunton,31,-,Liverpool,free transfer,2000,Aston Villa,defender
Gustavo Bartelt,25,-,AS Roma,?,2000,Aston Villa,forward
David Ginola,33,-,Tottenham,?,2000,Aston Villa,forward
Luc Nilis,33,-,PSV Eindhoven,?,2000,Aston Villa,forward
Gilles De Bilde,29,-,Sheff Wed,loan transfer,2000,Aston Villa,forward
Mark DeBolla,17,-,Aston Villa U18,-,2000,Aston Villa,forward
Jonathan Bewers,17,-,Aston Villa U18,-,2000,Aston Villa,defender
Stephen Cooke,17,-,Aston Villa U18,-,2000,Aston Villa,midfielder
Jay Smith,18,-,Aston Villa U18,-,2000,Aston Villa,midfielder
Neil Tarrant,21,-,York City,"End of loanDec 1, 2000",2000,Aston Villa,forward
Neil Cutler,24,-,Oxford United,"End of loanFeb 1, 2001",2000,Aston Villa,goalkeeper
Richard Walker,23,-,Blackpool,"End of loanMay 1, 2001",2000,Aston Villa,forward
Mark Draper,29,-,Rayo Vallecano,"End of loanJun 30, 2000",2000,Aston Villa,midfielder
George Boateng,23,-,Coventry,€6.20m,1999,Aston Villa,midfielder
David James,28,-,Liverpool,€2.40m,1999,Aston Villa,goalkeeper
Najwan Ghrayib,25,-,Hapoel Haifa,€1.00m,1999,Aston Villa,defender
Neil Cutler,23,-,Chester City,free transfer,1999,Aston Villa,goalkeeper
Benny Carbone,27,-,Sheff Wed,?,1999,Aston Villa,forward
John McGrath,19,-,Aston Villa U18,-,1999,Aston Villa,midfielder
Neil Tarrant,20,-,Ayr United,"End of loanMay 1, 2000",1999,Aston Villa,forward
Darren Byfield,23,-,Blackpool,"End of loanMay 1, 2000",1999,Aston Villa,forward
Darren Byfield,23,-,Cambridge Utd.,"End of loanNov 1, 1999",1999,Aston Villa,forward
Darren Byfield,22,-,Northampton,"End of loanSep 1, 1999",1999,Aston Villa,forward
Stan Collymore,28,-,Fulham,"End of loanOct 15, 1999",1999,Aston Villa,forward
Aaron Lescott,21,-,Lincoln City,"End of loanApr 1, 2000",1999,Aston Villa,defender
Dion Dublin,29,-,Coventry,€8.60m,1998,Aston Villa,forward
Steve Stone,27,-,Nottm Forest,€8.00m,1998,Aston Villa,midfielder
Alan Thompson,24,-,Bolton,€7.20m,1998,Aston Villa,midfielder
Paul Merson,30,-,Middlesbrough,€6.75m,1998,Aston Villa,midfielder
Steve Watson,24,-,Newcastle,€6.00m,1998,Aston Villa,defender
David Unsworth,24,-,West Ham,€4.60m,1998,Aston Villa,defender
Peter Enckelman,21,-,TPS,€570k,1998,Aston Villa,goalkeeper
Mark Delaney,22,-,Cardiff,€375k,1998,Aston Villa,defender
Neil Tarrant,19,-,Ross County,€375k,1998,Aston Villa,forward
Colin Calderwood,34,-,Tottenham,€330k,1998,Aston Villa,defender
Reuben Hazell,19,-,Aston Villa U18,-,1998,Aston Villa,defender
Michael Standing,17,-,Aston Villa U18,-,1998,Aston Villa,midfielder
Jlloyd Samuel,17,-,Aston Villa U18,-,1998,Aston Villa,midfielder
Darius Vassell,18,-,Aston Villa U18,-,1998,Aston Villa,forward
Gareth Barry,17,-,Aston Villa U18,-,1998,Aston Villa,midfielder
Darren Byfield,22,-,Preston,"End of loanJan 1, 1999",1998,Aston Villa,forward
Richard Walker,21,-,Cambridge Utd.,"End of loanMay 1, 1999",1998,Aston Villa,forward
Alan Lee,20,-,Port Vale,"End of loanMay 10, 1999",1998,Aston Villa,forward
Alan Lee,20,-,Torquay,"End of loanJan 27, 1999",1998,Aston Villa,forward
Stan Collymore,26,-,Liverpool,€10.50m,1997,Aston Villa,forward
Simon Grayson,27,-,Leicester,€1.30m,1997,Aston Villa,defender
Darren Byfield,20,-,Aston Villa Res.,-,1997,Aston Villa,forward
Matthew Ghent,17,-,Aston Villa U18,-,1997,Aston Villa,goalkeeper
Neil Davis,24,-,Tranmere Rovers,"End of loanAug 23, 1997",1997,Aston Villa,forward
David Hughes,20,-,Carlisle United,"End of loanApr 1, 1998",1997,Aston Villa,defender
Sasa Curcic,24,-,Bolton,€6.00m,1996,Aston Villa,midfielder
Julian Joachim,21,-,Leicester,€2.10m,1996,Aston Villa,forward
Nélson,24,-,Sporting CP,?,1996,Aston Villa,defender
Adam Rachel,19,-,Aston Villa U18,-,1996,Aston Villa,goalkeeper
David Hughes,18,-,Aston Villa U18,-,1996,Aston Villa,defender
Neil Davis,23,-,Wycombe,"End of loanDec 31, 1996",1996,Aston Villa,forward
Phil King,28,-,West Brom,"End of loanJun 30, 1996",1996,Aston Villa,defender
Mark Draper,24,-,Leicester,€4.88m,1995,Aston Villa,midfielder
Gareth Southgate,24,-,Crystal Palace,€3.75m,1995,Aston Villa,defender
Savo Milošević,21,-,Partizan,€1.50m,1995,Aston Villa,forward
Carl Tiler,25,-,Nottm Forest,€937k,1995,Aston Villa,defender
Riccardo Scimeca,20,-,Aston Villa Res.,-,1995,Aston Villa,defender
Aaron Lescott,16,-,Aston Villa U18,-,1995,Aston Villa,defender
Tommy Jaszczun,17,-,Aston Villa U18,-,1995,Aston Villa,defender
Lee Hendrie,18,-,Aston Villa U18,-,1995,Aston Villa,midfielder
Lee Collins,17,-,Aston Villa U18,-,1995,Aston Villa,defender
Richard Walker,17,-,Aston Villa U18,-,1995,Aston Villa,forward
Alan Lee,16,-,Aston Villa U18,-,1995,Aston Villa,forward
Tommy Johnson,23,-,Derby,€2.18m,1994,Aston Villa,forward
John Fashanu,31,-,Wimbledon FC,€1.62m,1994,Aston Villa,forward
Alan Wright,23,-,Blackburn,€1.50m,1994,Aston Villa,defender
Ian Taylor,26,-,Sheff Wed,€1.50m,1994,Aston Villa,midfielder
Gary Charles,24,-,Derby,€1.45m,1994,Aston Villa,defender
Franz Carr,28,-,Leicester,€300k,1994,Aston Villa,forward
Phil King,26,-,Sheff Wed,€240k,1994,Aston Villa,defender
Nii Lamptey,19,-,PSV Eindhoven,free transfer,1994,Aston Villa,midfielder
Bryan Small,23,-,Birmingham,"End of loanMay 31, 1995",1994,Aston Villa,defender
Gareth Farrelly,19,-,Rotherham,"End of loanMay 1, 1995",1994,Aston Villa,midfielder
Andy Townsend,29,-,Chelsea,€2.40m,1993,Aston Villa,midfielder
Guy Whittingham,28,-,Portsmouth,€1.80m,1993,Aston Villa,forward
Scott Murray,19,-,Fraserburgh,€50k,1993,Aston Villa,midfielder
Gordon Cowans,34,-,Blackburn,free transfer,1993,Aston Villa,midfielder
Paul Browne,18,-,Aston Villa U18,-,1993,Aston Villa,defender
Dariusz Kubicki,30,-,Sunderland,"End of loanMay 31, 1994",1993,Aston Villa,defender
Chris Boden,20,-,Barnsley FC,"End of loanMay 31, 1994",1993,Aston Villa,defender
Graham Fenton,20,-,West Brom,"End of loanMay 31, 1994",1993,Aston Villa,forward
Guy Whittingham,29,-,Wolves,"End of loanMay 31, 1994",1993,Aston Villa,forward
Michael Oakes,20,-,Scarborough,"End of loanMay 1, 1994",1993,Aston Villa,goalkeeper
Gjorgji Hristov,21,-,Partizan,€2.25m,1997,Barnsley,forward
Ashley Ward,26,-,Derby,€1.82m,1997,Barnsley,forward
Jan Åge Fjørtoft,30,-,Sheff Utd,€1.15m,1997,Barnsley,forward
Darren Barnard,25,-,Bristol City,€900k,1997,Barnsley,defender
Eric Tinkler,26,-,Cagliari Calcio,€442k,1997,Barnsley,midfielder
Lars Leese,27,-,B. Leverkusen,€375k,1997,Barnsley,goalkeeper
Ales Krizan,25,-,NK Maribor,?,1997,Barnsley,defender
Sven Peter Markstedt,25,-,Västerås SK,?,1997,Barnsley,defender
Paul Bagshaw,17,-,Barnsley U18,-,1997,Barnsley,forward
Neil Thompson,34,-,York City,"End of loanMay 31, 1998",1997,Barnsley,defender
Neil Thompson,34,-,Oldham Athletic,"End of loanFeb 24, 1998",1997,Barnsley,defender
Scott Jones,22,-,Mansfield Town,"End of loanSep 1, 1997",1997,Barnsley,defender
Scott Jones,22,-,Notts County,"End of loanNov 1, 1997",1997,Barnsley,defender
Nikola Zigic,29,€8.00m,Valencia,€7.00m,2010,Birmingham,forward
Ben Foster,27,€3.00m,Man Utd,€7.00m,2010,Birmingham,goalkeeper
Jean Beausejour,26,€2.50m,América,€4.80m,2010,Birmingham,defender
Curtis Davies,25,€4.50m,Aston Villa,€4.00m,2010,Birmingham,defender
Aleksandr Hleb,29,€7.00m,Barcelona,Loan fee:€1.20m,2010,Birmingham,midfielder
Martin Jiranek,31,€2.50m,Spartak Moscow,€600k,2010,Birmingham,defender
Matt Derbyshire,24,€4.00m,Olympiacos,Loan fee:€600k,2010,Birmingham,forward
Obafemi Martins,26,€7.20m,Rubin Kazan,Loan fee:€400k,2010,Birmingham,forward
Enric Vallès,20,€100k,NAC Breda,free transfer,2010,Birmingham,midfielder
David Bentley,26,€8.50m,Tottenham,loan transfer,2010,Birmingham,midfielder
Luke Hubbins,18,-,Birmingham U18,-,2010,Birmingham,midfielder
Jordon Mutch,18,€300k,Doncaster,"End of loanJun 1, 2010",2010,Birmingham,midfielder
Jay O'Shea,22,€700k,Port Vale,"End of loanFeb 1, 2011",2010,Birmingham,midfielder
Jake Jervis,19,€50k,Hereford Utd.,"End of loanFeb 1, 2011",2010,Birmingham,forward
Marcus Bent,32,€1.00m,Sheff Utd,"End of loanMay 1, 2011",2010,Birmingham,forward
Jake Jervis,19,€50k,Notts County,"End of loanNov 1, 2010",2010,Birmingham,forward
Robin Shroot,22,€50k,Cheltenham,"End of loanDec 31, 2010",2010,Birmingham,midfielder
Jordon Mutch,19,€300k,Watford,"End of loanJan 4, 2011",2010,Birmingham,midfielder
Marcus Bent,32,€1.00m,Wolves,"End of loanDec 1, 2010",2010,Birmingham,forward
Jay O'Shea,22,€700k,Stevenage,"End of loanDec 1, 2010",2010,Birmingham,midfielder
Franck Queudrue,31,€1.48m,Colchester Utd.,"End of loanJun 1, 2010",2010,Birmingham,defender
Luke Hubbins,18,-,Notts County,"End of loanDec 31, 2010",2010,Birmingham,midfielder
Dan Preston,19,-,Hereford Utd.,"End of loanApr 14, 2011",2010,Birmingham,defender
Garry O'Connor,27,€1.50m,Barnsley FC,"End of loanDec 1, 2010",2010,Birmingham,forward
Roger Johnson,26,€2.00m,Cardiff,€5.90m,2009,Birmingham,defender
Scott Dann,22,€750k,Coventry,€4.00m,2009,Birmingham,defender
Craig Gardner,23,€2.00m,Aston Villa,€3.50m,2009,Birmingham,midfielder
Míchel Madera,24,€3.00m,Sporting Gijón,€3.30m,2009,Birmingham,midfielder
Barry Ferguson,31,€7.00m,Rangers,€1.20m,2009,Birmingham,midfielder
Joe Hart,22,€6.50m,Man City,Loan fee:€1.15m,2009,Birmingham,goalkeeper
Christian Benítez,23,€6.25m,Santos Laguna,Loan fee:€900k,2009,Birmingham,forward
Jay O'Shea,20,-,Galway United,€100k,2009,Birmingham,midfielder
Grégory Vignal,28,€600k,Lens,free transfer,2009,Birmingham,defender
Lee Bowyer,32,€2.00m,West Ham,free transfer,2009,Birmingham,midfielder
Teemu Tainio,29,€2.80m,Sunderland,loan transfer,2009,Birmingham,midfielder
Giovanny Espinoza,32,€1.00m,CSD del Valle,loan transfer,2009,Birmingham,defender
Dan Preston,17,-,Birmingham U18,-,2009,Birmingham,defender
Jordon Mutch,17,€300k,Birmingham U18,-,2009,Birmingham,midfielder
Jake Jervis,17,-,Birmingham U18,-,2009,Birmingham,forward
Gary McSheffrey,27,€1.30m,Leeds,"End of loanMay 31, 2010",2009,Birmingham,forward
Robin Shroot,21,€50k,Burton Albion,"End of loanOct 1, 2009",2009,Birmingham,midfielder
Artur Krysiak,20,€125k,Burton Albion,"End of loanMay 1, 2010",2009,Birmingham,goalkeeper
Jay O'Shea,21,€700k,Middlesbrough,"End of loanMay 1, 2010",2009,Birmingham,midfielder
Semih Aydilek,20,€200k,Motherwell FC,"End of loanJun 30, 2009",2009,Birmingham,forward
Jake Jervis,18,-,Hereford Utd.,"End of loanMay 1, 2010",2009,Birmingham,forward
Marcus Bent,31,€2.25m,Middlesbrough,"End of loanDec 31, 2009",2009,Birmingham,forward
Jordon Mutch,18,€300k,Hereford Utd.,"End of loanJan 3, 2010",2009,Birmingham,midfielder
Dan Preston,18,€100k,Hereford Utd.,"End of loanMar 26, 2010",2009,Birmingham,defender
Krystian Pearce,20,€150k,Peterborough,"End of loanJan 11, 2010",2009,Birmingham,defender
Marcus Bent,31,€1.50m,QPR,"End of loanMay 1, 2010",2009,Birmingham,forward
James McFadden,24,€3.00m,Everton,€7.50m,2007,Birmingham,forward
Fabrice Muamba,19,€6.00m,Arsenal,€6.00m,2007,Birmingham,midfielder
Garry O'Connor,24,€4.00m,Loko Moscow,€4.00m,2007,Birmingham,forward
Franck Queudrue,28,€4.80m,Fulham,€3.75m,2007,Birmingham,defender
Liam Ridgewell,23,€3.20m,Aston Villa,€3.00m,2007,Birmingham,defender
Olivier Kapo,26,€4.00m,Juventus,€2.30m,2007,Birmingham,midfielder
David Murphy,23,€1.25m,Hibernian FC,€2.25m,2007,Birmingham,defender
Rafael,26,€4.50m,LOSC Lille,Loan fee:€500k,2007,Birmingham,defender
Daniël de Ridder,23,€1.25m,Ajax,free transfer,2007,Birmingham,forward
Richard Kingson,29,€1.10m,Ankaraspor,free transfer,2007,Birmingham,goalkeeper
Stuart Parnaby,24,€1.60m,Middlesbrough,free transfer,2007,Birmingham,defender
Johan Djourou,20,€3.60m,Arsenal,loan transfer,2007,Birmingham,defender
Mauro Zárate,20,€7.50m,Al-Sadd SC,loan transfer,2007,Birmingham,forward
Borja Oubiña,25,€3.00m,Celta de Vigo,loan transfer,2007,Birmingham,midfielder
Wilson Palacios,22,-,CD Olimpia,loan transfer,2007,Birmingham,midfielder
Sone Aluko,18,€50k,Birmingham U18,-,2007,Birmingham,forward
Krystian Pearce,17,-,Birmingham U18,-,2007,Birmingham,defender
Jamie O'Brien,17,-,Birmingham U18,-,2007,Birmingham,midfielder
Artur Krysiak,17,€100k,Birmingham U18,-,2007,Birmingham,goalkeeper
David Howland,21,€50k,Port Vale,"End of loanApr 1, 2008",2007,Birmingham,midfielder
Adam Legzdins,21,€100k,Halifax Town,"End of loanMay 1, 2008",2007,Birmingham,goalkeeper
Krystian Pearce,18,€100k,Port Vale,"End of loanMay 1, 2008",2007,Birmingham,defender
Sam Oji,22,€75k,Leyton Orient,"End of loanNov 30, 2007",2007,Birmingham,defender
Jamie Price,19,€50k,Tamworth,"End of loanFeb 1, 2008",2007,Birmingham,defender
Martin Taylor,28,€1.25m,Norwich,"End of loanDec 1, 2007",2007,Birmingham,defender
Neil Kilkenny,22,€500k,Oldham Athletic,"End of loanJan 2, 2008",2007,Birmingham,midfielder
Krystian Pearce,17,-,Notts County,"End of loanDec 1, 2007",2007,Birmingham,defender
Adam Legzdins,-,€75k,Stockport,End of loan,2007,Birmingham,goalkeeper
Asa Hall,21,-,Shrewsbury,"End of loanMay 1, 2008",2007,Birmingham,midfielder
Artur Krysiak,18,€100k,Gretna FC,"End of loanMay 1, 2008",2007,Birmingham,goalkeeper
Mikael Forssell,24,€7.00m,Chelsea,€4.50m,2005,Birmingham,forward
Walter Pandiani,29,€10.00m,Dep. La Coruña,€4.00m,2005,Birmingham,forward
Mehdi Nafti,26,€2.00m,Racing,€1.50m,2005,Birmingham,midfielder
Jermaine Pennant,22,€4.00m,Arsenal,€750k,2005,Birmingham,forward
DJ Campbell,24,-,Brentford,€750k,2005,Birmingham,forward
Martin Latka,21,-,Slavia Prague,€600k,2005,Birmingham,defender
Chris Sutton,32,€4.25m,Celtic,free transfer,2005,Birmingham,forward
Ingi Höjsted,19,-,HB Tórshavn,free transfer,2005,Birmingham,midfielder
Jiri Jarosik,27,€6.50m,Chelsea,loan transfer,2005,Birmingham,defender
Nicky Butt,30,€6.00m,Newcastle,loan transfer,2005,Birmingham,midfielder
Nick Wright,17,-,Birmingham U18,-,2005,Birmingham,forward
Marcos Painter,18,-,Birmingham U18,-,2005,Birmingham,defender
David Howland,18,-,Birmingham U18,-,2005,Birmingham,midfielder
Adam Legzdins,18,-,Birmingham U18,-,2005,Birmingham,goalkeeper
Asa Hall,18,-,Birmingham U18,-,2005,Birmingham,midfielder
Mat Sadler,20,€100k,Birmingham U21,-,2005,Birmingham,defender
Ollie Allen,18,-,Birmingham U18,-,2005,Birmingham,forward
Jamie Price,18,€250k,Birmingham U18,-,2005,Birmingham,forward
Mathew Birley,18,-,Birmingham U18,-,2005,Birmingham,midfielder
Colin Doyle,20,€75k,Millwall,"End of loanMay 1, 2006",2005,Birmingham,goalkeeper
Nick Wright,18,-,Tamworth,"End of loanFeb 6, 2006",2005,Birmingham,forward
Alex Bruce,21,-,Tranmere Rovers,"End of loanOct 1, 2005",2005,Birmingham,defender
Peter Till,20,-,Scunthorpe Utd.,"End of loanJan 8, 2006",2005,Birmingham,midfielder
Sam Alsop,20,-,Yeovil Town,"End of loanMay 1, 2006",2005,Birmingham,defender
Carl Motteram,21,€50k,Tamworth,"End of loanApr 1, 2006",2005,Birmingham,midfielder
Sam Oji,20,€75k,Doncaster,"End of loanJan 3, 2006",2005,Birmingham,defender
Njazi Kuqi,22,€600k,Blackpool,"End of loanFeb 1, 2006",2005,Birmingham,forward
Peter Till,20,€75k,Boston Utd,"End of loanMay 7, 2006",2005,Birmingham,midfielder
Adam Legzdins,18,-,Alfreton,"End of loanNov 1, 2005",2005,Birmingham,goalkeeper
Asa Hall,19,-,Boston Utd,"End of loanApr 1, 2006",2005,Birmingham,midfielder
Adam Legzdins,19,-,Halifax Town,"End of loanDec 31, 2005",2005,Birmingham,goalkeeper
Emile Heskey,26,-,Liverpool,€9.32m,2004,Birmingham,forward
Jesper Grönkjaer,26,-,Chelsea,€3.30m,2004,Birmingham,forward
Robbie Blake,28,€2.50m,Burnley,€2.25m,2004,Birmingham,forward
Njazi Kuqi,21,€600k,FC Lahti,€500k,2004,Birmingham,forward
Dwight Yorke,32,-,Blackburn,€400k,2004,Birmingham,forward
Mario Melchiot,27,-,Chelsea,free transfer,2004,Birmingham,defender
Darren Anderton,32,-,Tottenham,free transfer,2004,Birmingham,midfielder
Muzzy Izzet,29,-,Leicester,free transfer,2004,Birmingham,midfielder
Julian Gray,24,-,Crystal Palace,free transfer,2004,Birmingham,forward
Salif Diao,27,€8.00m,Liverpool,loan transfer,2004,Birmingham,midfielder
Jermaine Pennant,22,€3.00m,Arsenal,loan transfer,2004,Birmingham,forward
Mehdi Nafti,26,€1.00m,Racing,loan transfer,2004,Birmingham,midfielder
Sam Oji,18,-,Arsenal U18,?,2004,Birmingham,defender
Walter Pandiani,28,€10.00m,Dep. La Coruña,loan transfer,2004,Birmingham,forward
Alex Bruce,19,-,Birmingham U18,-,2004,Birmingham,defender
Peter Till,18,-,Birmingham U18,-,2004,Birmingham,midfielder
Sam Alsop,19,-,Birmingham U18,-,2004,Birmingham,defender
Darren Carter,20,€500k,Sunderland,"End of loanDec 5, 2004",2004,Birmingham,midfielder
Ian Bennett,33,€1.00m,Coventry,"End of loanMay 1, 2005",2004,Birmingham,goalkeeper
Colin Doyle,19,€50k,Nottm Forest,"End of loanMay 9, 2005",2004,Birmingham,goalkeeper
Alex Bruce,20,-,Sheff Wed,"End of loanMay 1, 2005",2004,Birmingham,defender
Alex Bruce,20,-,Oldham Athletic,"End of loanFeb 1, 2005",2004,Birmingham,defender
Neil Kilkenny,19,€125k,Oldham Athletic,"End of loanMay 1, 2005",2004,Birmingham,midfielder
Andy Barrowman,19,-,Blackpool,"End of loanSep 1, 2004",2004,Birmingham,forward
Ian Bennett,33,€1.00m,Sheff Utd,"End of loanJan 1, 2005",2004,Birmingham,goalkeeper
Andy Barrowman,20,€75k,Mansfield Town,"End of loanApr 4, 2005",2004,Birmingham,forward
Colin Doyle,19,-,Chester City,"End of loanNov 22, 2004",2004,Birmingham,goalkeeper
Nico Vaesen,34,-,Crystal Palace,"End of loanJun 30, 2004",2004,Birmingham,goalkeeper
David Dunn,23,-,Blackburn,€8.75m,2003,Birmingham,midfielder
Luciano Figueroa,22,-,Rosario Central,€3.75m,2003,Birmingham,forward
Maik Taylor,32,-,Fulham,€2.25m,2003,Birmingham,goalkeeper
Martin Taylor,24,-,Blackburn,€1.60m,2003,Birmingham,defender
Mikael Forssell,22,-,Chelsea,Loan fee:€750k,2003,Birmingham,forward
Neil Kilkenny,18,-,Arsenal U18,free transfer,2003,Birmingham,midfielder
Maik Taylor,31,-,Fulham,loan transfer,2003,Birmingham,goalkeeper
Andy Barrowman,18,-,Birmingham U18,-,2003,Birmingham,forward
Carl Motteram,18,-,Birmingham U18,-,2003,Birmingham,midfielder
Colin Doyle,18,-,Birmingham U18,-,2003,Birmingham,goalkeeper
Nico Vaesen,34,-,Bradford,"End of loanDec 31, 2003",2003,Birmingham,goalkeeper
Martin Grainger,31,-,Coventry,"End of loanJan 1, 2004",2003,Birmingham,defender
Andy Barrowman,18,-,Crewe Alexandra,"End of loanNov 1, 2003",2003,Birmingham,forward
Curtis Woodhouse,23,-,Rotherham,"End of loanJun 30, 2003",2003,Birmingham,midfielder
Tom Williams,23,-,QPR,"End of loanSep 7, 2003",2003,Birmingham,defender
Tom Williams,23,-,Peterborough,"End of loanMay 31, 2004",2003,Birmingham,defender
Clinton Morrison,23,-,Crystal Palace,€6.38m,2002,Birmingham,forward
Aliou Cissé,26,-,Paris SG,€2.25m,2002,Birmingham,midfielder
Robbie Savage,27,-,Leicester,€1.88m,2002,Birmingham,midfielder
Jamie Clapham,27,-,Ipswich,€1.85m,2002,Birmingham,defender
Matthew Upson,23,-,Arsenal,€1.40m,2002,Birmingham,defender
Stephen Clemence,24,-,Tottenham,€1.35m,2002,Birmingham,midfielder
Tom Williams,21,-,Peterborough,€525k,2002,Birmingham,defender
Andy Marriott,32,-,Barnsley FC,€50k,2002,Birmingham,goalkeeper
Jovan Kirovski,26,-,Crystal Palace,free transfer,2002,Birmingham,forward
Darryl Powell,30,-,Derby,free transfer,2002,Birmingham,defender
Christophe Dugarry,30,-,G. Bordeaux,free transfer,2002,Birmingham,forward
Kenny Cunningham,31,-,Wimbledon FC,free transfer,2002,Birmingham,defender
Ferdinand Coly,29,-,Lens,loan transfer,2002,Birmingham,defender
Piotr Swierczewski,30,-,Marseille,loan transfer,2002,Birmingham,midfielder
Peter Gilbert,18,-,Birmingham U18,-,2002,Birmingham,defender
Richard Evans,19,-,Birmingham U18,-,2002,Birmingham,forward
Graham Hyde,31,-,Petershill FC,"End of loanNov 1, 2002",2002,Birmingham,midfielder
Tommy Mooney,31,-,Stoke City,"End of loanDec 18, 2002",2002,Birmingham,forward
Tom Williams,22,-,QPR,"End of loanMay 31, 2003",2002,Birmingham,defender
Craig Fagan,20,-,Bristol City,"End of loanMay 14, 2003",2002,Birmingham,forward
Tommy Mooney,31,-,Sheff Utd,"End of loanMar 5, 2003",2002,Birmingham,forward
Tommy Mooney,31,-,Derby,"End of loanMay 5, 2003",2002,Birmingham,forward
Scott Dann,24,€4.50m,Birmingham,€6.80m,2011,Blackburn,defender
David Goodwillie,22,€2.50m,Dundee United,€3.40m,2011,Blackburn,forward
Radosav Petrovic,22,€2.50m,Partizan,€3.30m,2011,Blackburn,midfielder
Simon Vukcevic,25,€5.80m,Sporting CP,€2.30m,2011,Blackburn,forward
Bradley Orr,29,€1.50m,QPR,€1.80m,2011,Blackburn,defender
Yakubu Aiyegbeni,28,€6.00m,Everton,€1.70m,2011,Blackburn,forward
Jordan Slew,18,-,Sheff Utd,€1.25m,2011,Blackburn,forward
Myles Anderson,21,-,Aberdeen FC,free transfer,2011,Blackburn,defender
Marcus Olsson,23,€600k,Halmstads BK,free transfer,2011,Blackburn,defender
Anthony Modeste,23,€4.75m,G. Bordeaux,loan transfer,2011,Blackburn,forward
Bruno Ribeiro,28,-,Without Club,-,2011,Blackburn,midfielder
Micah Evans,18,-,Blackburn U18,-,2011,Blackburn,forward
Christopher Dilo,17,-,Blackburn U18,-,2011,Blackburn,goalkeeper
Tom Hitchcock,18,-,Blackburn U18,-,2011,Blackburn,forward
