Player Name,Age,Position,Market value,Joined,Fee,Year,Club
Aaron Connolly,22,forward,€2.50m,Hull City,loan transfer,2022,Brighton
Haydon Roberts,20,defender,€700k,Derby,loan transfer,2022,Brighton
Aaron Connolly,22,forward,€2.50m,Venezia,loan transfer,2022,Brighton
Shane Duffy,30,defender,€1.00m,Fulham,loan transfer,2022,Brighton
Kjell Scherpen,22,goalkeeper,€3.00m,Vitesse,loan transfer,2022,Brighton
Steven Alzate,23,midfielder,€4.00m,Standard Liège,loan transfer,2022,Brighton
Enock Mwepu,24,midfielder,-,Retired,-,2022,Brighton
Levi Colwill,20,defender,€50.00m,Chelsea,"End of loanMay 31, 2023",2022,Brighton
Ben White,23,defender,€55.00m,Arsenal,€58.50m,2021,Brighton
Dan Burn,29,defender,€8.00m,Newcastle,€15.00m,2021,Brighton
Percy Tau,27,forward,€1.80m,El Ahly,€1.80m,2021,Brighton
Viktor Gyökeres,23,forward,€65.00m,Coventry,€1.20m,2021,Brighton
Alireza Jahanbakhsh,27,forward,€3.00m,Feyenoord,€1.00m,2021,Brighton
Michal Karbownik,20,defender,€3.00m,Olympiacos,Loan fee:€1.00m,2021,Brighton
Jan Mlakar,22,forward,€2.50m,Hajduk Split,€300k,2021,Brighton
Jürgen Locadia,28,forward,€800k,VfL Bochum,free transfer,2021,Brighton
Davy Pröpper,29,midfielder,-,PSV Eindhoven,free transfer,2021,Brighton
Billy Arce,23,forward,€900k,Independiente,free transfer,2021,Brighton
Mathew Ryan,29,goalkeeper,€3.50m,Real Sociedad,free transfer,2021,Brighton
José Izquierdo,29,forward,-,Club Brugge,free transfer,2021,Brighton
Deniz Undav,25,forward,€25.00m,Union SG,loan transfer,2021,Brighton
Kaoru Mitoma,24,forward,€45.00m,Union SG,loan transfer,2021,Brighton
Kacper Kozlowski,18,midfielder,€5.00m,Union SG,loan transfer,2021,Brighton
Bernardo,26,defender,€5.50m,RB Salzburg,?,2021,Brighton
Christian Walton,26,goalkeeper,€900k,Ipswich,?,2021,Brighton
Leo Østigård,21,defender,€8.00m,Stoke City,loan transfer,2021,Brighton
Jan Paul van Hecke,21,defender,€18.00m,Blackburn,loan transfer,2021,Brighton
Moisés Caicedo,19,midfielder,€75.00m,Beerschot V.A.,loan transfer,2021,Brighton
Aaron Connolly,21,forward,€2.50m,Middlesbrough,loan transfer,2021,Brighton
Matt Clarke,24,defender,€2.50m,West Brom,loan transfer,2021,Brighton
Andi Zeqiri,22,forward,€3.50m,FC Augsburg,loan transfer,2021,Brighton
Florin Andone,28,forward,€600k,Cádiz CF,loan transfer,2021,Brighton
Christian Walton,25,goalkeeper,€900k,Ipswich,loan transfer,2021,Brighton
Leo Østigård,22,defender,€8.00m,Genoa,loan transfer,2021,Brighton
Abdallah Sima,20,forward,€7.50m,Stoke City,loan transfer,2021,Brighton
Taylor Richards,21,midfielder,€350k,Birmingham,loan transfer,2021,Brighton
Kjell Scherpen,22,goalkeeper,€3.00m,KV Oostende,loan transfer,2021,Brighton
Anthony Knockaert,28,forward,-,Fulham,€11.70m,2020,Brighton
Aaron Mooy,29,midfielder,-,SH Port,€4.50m,2020,Brighton
Shane Duffy,28,defender,€1.00m,Celtic,Loan fee:€2.20m,2020,Brighton
Dale Stephens,31,midfielder,-,Burnley,€1.10m,2020,Brighton
David Button,31,goalkeeper,€125k,West Brom,€1.10m,2020,Brighton
Glenn Murray,37,forward,-,Nottm Forest,free transfer,2020,Brighton
Martín Montoya,29,defender,€800k,Real Betis,free transfer,2020,Brighton
Jakub Moder,21,midfielder,€10.00m,Lech Poznan,loan transfer,2020,Brighton
Michal Karbownik,19,defender,€3.00m,Legia Warszawa,loan transfer,2020,Brighton
Percy Tau,26,forward,€1.80m,RSC Anderlecht,loan transfer,2020,Brighton
Tudor Băluţă,21,midfielder,€2.00m,Dynamo Kyiv,loan transfer,2020,Brighton
Viktor Gyökeres,22,forward,€65.00m,Swansea,loan transfer,2020,Brighton
Leo Østigård,20,defender,€8.00m,Coventry,loan transfer,2020,Brighton
Matt Clarke,23,defender,€2.50m,Derby,loan transfer,2020,Brighton
Glenn Murray,36,forward,-,Watford,loan transfer,2020,Brighton
Jan Mlakar,21,forward,€2.50m,NK Maribor,loan transfer,2020,Brighton
Viktor Gyökeres,22,forward,€65.00m,Coventry,loan transfer,2020,Brighton
Bernardo,25,defender,€5.50m,RB Salzburg,loan transfer,2020,Brighton
Mathew Ryan,28,goalkeeper,€3.50m,Arsenal,loan transfer,2020,Brighton
Jan Paul van Hecke,20,defender,€18.00m,Heerenveen,loan transfer,2020,Brighton
Ezequiel Schelotto,31,midfielder,€50k,Without Club,-,2020,Brighton
Beram Kayal,32,midfielder,€300k,Without Club,-,2020,Brighton
Anthony Knockaert,27,forward,-,Fulham,Loan fee:€4.50m,2019,Brighton
Ales Mateju,23,defender,€1.00m,Brescia,€1.80m,2019,Brighton
Anders Dreyer,21,forward,€15.00m,FC Midtjylland,€1.00m,2019,Brighton
Florin Andone,26,forward,€600k,Galatasaray,Loan fee:€700k,2019,Brighton
Gaëtan Bong,31,defender,-,Nottm Forest,€500k,2019,Brighton
Tomer Hemed,32,forward,€150k,Charlton,free transfer,2019,Brighton
Soufyan Ahannach,24,forward,€375k,Go Ahead Eagles,free transfer,2019,Brighton
Richie Towell,27,midfielder,€125k,Salford,free transfer,2019,Brighton
Leon Balogun,31,defender,€150k,Wigan,free transfer,2019,Brighton
Markus Suttner,32,defender,-,F. Düsseldorf,free transfer,2019,Brighton
Ben White,21,defender,€55.00m,Leeds,loan transfer,2019,Brighton
Alexis Mac Allister,20,midfielder,€75.00m,Boca Juniors,loan transfer,2019,Brighton
Tudor Băluţă,20,midfielder,€2.00m,ADO Den Haag,loan transfer,2019,Brighton
Jürgen Locadia,26,forward,€800k,Cincinnati,loan transfer,2019,Brighton
Beram Kayal,31,midfielder,€300k,Charlton,loan transfer,2019,Brighton
Jan Mlakar,20,forward,€2.50m,QPR,loan transfer,2019,Brighton
Leo Østigård,19,defender,€8.00m,FC St. Pauli,loan transfer,2019,Brighton
Billy Arce,21,forward,€900k,Barcelona SC,loan transfer,2019,Brighton
Soufyan Ahannach,23,forward,€375k,Union SG,loan transfer,2019,Brighton
Percy Tau,25,forward,€1.80m,Club Brugge,loan transfer,2019,Brighton
Leon Balogun,31,defender,€150k,Wigan,loan transfer,2019,Brighton
Jan Mlakar,21,forward,€2.50m,Wigan,loan transfer,2019,Brighton
Anders Dreyer,21,forward,€15.00m,Heerenveen,loan transfer,2019,Brighton
Christian Walton,23,goalkeeper,€900k,Blackburn,loan transfer,2019,Brighton
Matt Clarke,22,defender,€2.50m,Derby,loan transfer,2019,Brighton
Billy Arce,21,forward,€900k,LDU Quito,loan transfer,2019,Brighton
Jürgen Locadia,25,forward,€800k,TSG Hoffenheim,loan transfer,2019,Brighton
Viktor Gyökeres,21,forward,€65.00m,FC St. Pauli,loan transfer,2019,Brighton
Bruno Saltor,38,defender,-,Retired,-,2019,Brighton
Aaron Mooy,29,midfielder,-,Huddersfield,"End of loanJan 23, 2020",2019,Brighton
Sam Baldock,29,forward,-,Reading,€3.90m,2018,Brighton
Connor Goldson,25,defender,€5.00m,Rangers,€3.40m,2018,Brighton
Oliver Norwood,27,midfielder,€1.00m,Sheff Utd,€2.20m,2018,Brighton
Mathias Normann,22,midfielder,€3.00m,Rostov,€1.70m,2018,Brighton
Jamie Murphy,28,forward,€200k,Rangers,€1.20m,2018,Brighton
Jiri Skalak,26,forward,€150k,Millwall,€1.00m,2018,Brighton
Ezequiel Schelotto,29,midfielder,€50k,Chievo Verona,Loan fee:€220k,2018,Brighton
Tyler Hornby-Forbes,22,defender,-,Newport County,free transfer,2018,Brighton
Uwe Hünemeier,32,defender,-,SC Paderborn,free transfer,2018,Brighton
Niki Mäenpää,33,goalkeeper,€75k,Bristol City,free transfer,2018,Brighton
Tim Krul,30,goalkeeper,€500k,Norwich,free transfer,2018,Brighton
Christian Walton,22,goalkeeper,€900k,Wigan,loan transfer,2018,Brighton
Anders Dreyer,20,forward,€15.00m,St. Mirren,loan transfer,2018,Brighton
Alexis Mac Allister,20,midfielder,€75.00m,Argentinos Jrs.,loan transfer,2018,Brighton
Tudor Băluţă,19,midfielder,€2.00m,FC Viitorul,loan transfer,2018,Brighton
Dan Burn,26,defender,€8.00m,Wigan,loan transfer,2018,Brighton
Richie Towell,27,midfielder,€125k,Rotherham,loan transfer,2018,Brighton
Percy Tau,24,forward,€1.80m,Union SG,loan transfer,2018,Brighton
Billy Arce,20,forward,€900k,CS Emelec,loan transfer,2018,Brighton
Tomer Hemed,31,forward,€150k,QPR,loan transfer,2018,Brighton
Ales Mateju,22,defender,€1.00m,Brescia,loan transfer,2018,Brighton
Markus Suttner,31,defender,-,F. Düsseldorf,loan transfer,2018,Brighton
Ben White,21,defender,€55.00m,Peterborough,loan transfer,2018,Brighton
Oliver Norwood,27,midfielder,€1.00m,Sheff Utd,loan transfer,2018,Brighton
Billy Arce,20,forward,€900k,Extremadura,loan transfer,2018,Brighton
Rohan Ince,25,midfielder,-,Without Club,-,2018,Brighton
Steve Sidwell,35,midfielder,-,Retired,-,2018,Brighton
Liam Rosenior,34,defender,-,Retired,-,2018,Brighton
Jan Mlakar,20,forward,€2.50m,NK Maribor,loan transfer,2018,Brighton
Rob Hunt,22,defender,€200k,Oldham Athletic,€400k,2017,Brighton
Chris O'Grady,31,forward,-,Chesterfield FC,free transfer,2017,Brighton
Joe Ward,21,midfielder,€300k,Woking,free transfer,2017,Brighton
David Stockdale,31,goalkeeper,-,Birmingham,free transfer,2017,Brighton
Elvis Manu,23,forward,€350k,Genclerbirligi,free transfer,2017,Brighton
Vegard Forren,29,defender,-,Molde FK,free transfer,2017,Brighton
Kazenga LuaLua,27,forward,€100k,Sunderland,free transfer,2017,Brighton
Christian Walton,22,goalkeeper,€900k,Wigan,loan transfer,2017,Brighton
Christian Walton,21,goalkeeper,€900k,Wigan,loan transfer,2017,Brighton
Tyler Hornby-Forbes,21,defender,-,Accrington,loan transfer,2017,Brighton
Rohan Ince,24,midfielder,-,Bury,loan transfer,2017,Brighton
Mathias Normann,21,midfielder,€3.00m,Molde FK,loan transfer,2017,Brighton
Richie Towell,26,midfielder,€125k,Rotherham,loan transfer,2017,Brighton
Soufyan Ahannach,22,forward,€375k,Sparta R.,loan transfer,2017,Brighton
Jamie Murphy,28,forward,€200k,Rangers,loan transfer,2017,Brighton
Kazenga LuaLua,26,forward,€100k,QPR,loan transfer,2017,Brighton
Oliver Norwood,26,midfielder,€1.00m,Fulham,loan transfer,2017,Brighton
Casper Ankergren,37,goalkeeper,-,Retired,-,2017,Brighton
Leonardo Ulloa,31,forward,-,Leicester,"End of loanMay 31, 2018",2017,Brighton
Sam Adekugbe,22,defender,€1.20m,Vancouver,"End of loanJun 30, 2017",2017,Brighton
Izzy Brown,21,forward,-,Chelsea U23,"End of loanJan 10, 2018",2017,Brighton
Tim Krul,29,goalkeeper,€500k,Newcastle,"End of loanSep 19, 2017",2017,Brighton
Bobby Thomas,22,defender,€2.50m,Coventry,€2.30m,2023,Burnley
Wout Weghorst,31,forward,€6.00m,TSG Hoffenheim,Loan fee:€1.50m,2023,Burnley
Will Norris,29,goalkeeper,€400k,Portsmouth,free transfer,2023,Burnley
Ashley Barnes,33,forward,€500k,Norwich,free transfer,2023,Burnley
Denis Franchi,21,goalkeeper,€250k,Ternana,?,2023,Burnley
Luke McNally,23,defender,€3.80m,Stoke City,loan transfer,2023,Burnley
Anass Zaroury,23,forward,€9.00m,Hull City,loan transfer,2023,Burnley
Connor Roberts,28,defender,€7.00m,Leeds,loan transfer,2023,Burnley
Samuel Bastien,26,midfielder,€1.10m,Kasimpasa,loan transfer,2023,Burnley
Scott Twine,24,midfielder,€3.00m,Hull City,loan transfer,2023,Burnley
Dara Costelloe,20,forward,€325k,St. Johnstone,loan transfer,2023,Burnley
Darko Churlinov,23,forward,€1.50m,FC Schalke 04,loan transfer,2023,Burnley
CJ Egan-Riley,21,defender,€1.50m,PSV U21,loan transfer,2023,Burnley
Bailey Peacock-Farrell,26,goalkeeper,€1.20m,Aarhus GF,loan transfer,2023,Burnley
Scott Twine,24,midfielder,€3.00m,Bristol City,loan transfer,2023,Burnley
Enock Agyei,18,forward,€800k,Burnley U21,-,2023,Burnley
Matthew Lowton,34,defender,-,Without Club,-,2023,Burnley
Michael Obafemi,23,forward,€2.20m,Millwall,loan transfer,2023,Burnley
Dara Costelloe,21,forward,€325k,Dundee FC,loan transfer,2023,Burnley
David Datro Fofana,21,forward,€12.00m,Chelsea,"End of loanMay 31, 2024",2023,Burnley
Jordan Beyer,23,defender,€13.00m,Bor. M'gladbach,"End of loanJun 30, 2023",2023,Burnley
Chris Wood,30,forward,€7.00m,Newcastle,€30.00m,2021,Burnley
Ben Gibson,28,defender,€1.20m,Norwich,€9.30m,2021,Burnley
Josh Benson,21,midfielder,€250k,Barnsley FC,€1.20m,2021,Burnley
Jimmy Dunne,23,defender,€2.50m,QPR,free transfer,2021,Burnley
Bailey Peacock-Farrell,24,goalkeeper,€1.20m,Sheff Wed,loan transfer,2021,Burnley
Robbie Brady,29,midfielder,€400k,Without Club,-,2021,Burnley
Ben Gibson,27,defender,€1.20m,Norwich,Loan fee:€2.30m,2020,Burnley
Aaron Lennon,33,forward,-,Kayserispor,free transfer,2020,Burnley
Aiden O'Neill,22,midfielder,€1.50m,Melbourne City,free transfer,2020,Burnley
Joe Hart,33,goalkeeper,-,Tottenham,free transfer,2020,Burnley
Jeff Hendrick,28,midfielder,€500k,Newcastle,free transfer,2020,Burnley
Adam Legzdins,33,goalkeeper,€100k,Without Club,-,2020,Burnley
Tom Heaton,33,goalkeeper,€250k,Aston Villa,€8.80m,2019,Burnley
Nahki Wells,29,forward,€400k,Bristol City,€4.75m,2019,Burnley
Stephen Ward,33,defender,-,Stoke City,free transfer,2019,Burnley
Ntumba Massanka,22,forward,-,Chorley,free transfer,2019,Burnley
Steven Defour,31,midfielder,-,Royal Antwerp,free transfer,2019,Burnley
Anders Lindegaard,35,goalkeeper,-,Helsingborgs IF,free transfer,2019,Burnley
Conor Mitchell,23,goalkeeper,€50k,Larne FC,free transfer,2019,Burnley
Aiden O'Neill,20,midfielder,€1.50m,Brisbane Roar,loan transfer,2019,Burnley
Nahki Wells,29,forward,€400k,QPR,loan transfer,2019,Burnley
Peter Crouch,38,forward,-,Retired,-,2019,Burnley
Danny Drinkwater,29,midfielder,-,Chelsea,"End of loanJan 6, 2020",2019,Burnley
Sam Vokes,29,forward,€125k,Stoke City,€8.00m,2018,Burnley
Dean Marney,34,midfielder,-,Fleetwood,free transfer,2018,Burnley
Scott Arfield,29,midfielder,€250k,Rangers,free transfer,2018,Burnley
Tom Anderson,24,defender,€175k,Doncaster,free transfer,2018,Burnley
Chris Long,23,forward,€250k,Fleetwood,free transfer,2018,Burnley
Ntumba Massanka,22,forward,-,RWDM,loan transfer,2018,Burnley
Conor Mitchell,22,goalkeeper,€50k,Linfield,loan transfer,2018,Burnley
Jonathan Walters,34,forward,-,Ipswich,loan transfer,2018,Burnley
Aiden O'Neill,20,midfielder,€1.50m,Central Coast,loan transfer,2018,Burnley
Nahki Wells,28,forward,€400k,QPR,loan transfer,2018,Burnley
Conor Mitchell,22,goalkeeper,€50k,St. Johnstone,loan transfer,2018,Burnley
Ntumba Massanka,21,forward,-,Dover Athletic,loan transfer,2018,Burnley
Jonathan Walters,35,forward,-,Retired,-,2018,Burnley
Michael Keane,24,defender,€6.00m,Everton,€28.50m,2017,Burnley
Andre Gray,26,forward,€1.30m,Watford,€20.40m,2017,Burnley
Tendayi Darikwa,25,defender,€350k,Nottm Forest,€1.10m,2017,Burnley
Harry Flowers,21,defender,-,Guiseley,free transfer,2017,Burnley
George Green,21,midfielder,-,Viking,free transfer,2017,Burnley
Fredrik Ulvestad,25,midfielder,€600k,Djurgården,free transfer,2017,Burnley
Alex Whitmore,22,defender,-,Chesterfield FC,free transfer,2017,Burnley
Michael Kightly,31,forward,-,Southend United,free transfer,2017,Burnley
Rouwen Hennings,29,forward,€200k,F. Düsseldorf,free transfer,2017,Burnley
George Boyd,31,forward,-,Sheff Wed,free transfer,2017,Burnley
Tom Anderson,24,defender,€175k,Doncaster,loan transfer,2017,Burnley
Alex Whitmore,21,defender,-,Bury,loan transfer,2017,Burnley
Tom Anderson,23,defender,€175k,Port Vale,loan transfer,2017,Burnley
Ntumba Massanka,20,forward,-,Wrexham,loan transfer,2017,Burnley
Conor Mitchell,21,goalkeeper,€50k,Chester,loan transfer,2017,Burnley
Luke Hendrie,23,defender,€100k,Shrewsbury,?,2017,Burnley
Chris Long,22,forward,€250k,Northampton,loan transfer,2017,Burnley
Luke Hendrie,22,defender,€100k,Bradford,loan transfer,2017,Burnley
Aiden O'Neill,19,midfielder,€1.50m,Fleetwood,loan transfer,2017,Burnley
Joey Barton,34,midfielder,-,Retired,-,2017,Burnley
Paul Robinson,37,goalkeeper,-,Retired,-,2017,Burnley
Georges-Kevin N'Koudou,23,forward,€5.00m,Tottenham,"End of loanMay 31, 2018",2017,Burnley
Lukas Jutkiewicz,27,forward,€250k,Birmingham,€1.20m,2016,Burnley
Lloyd Dyer,33,midfielder,-,Burton Albion,free transfer,2016,Burnley
Matthew Taylor,34,midfielder,-,Northampton,free transfer,2016,Burnley
David Jones,31,midfielder,-,Sheff Wed,free transfer,2016,Burnley
Danny Lafferty,27,defender,-,Sheff Utd,free transfer,2016,Burnley
Matt Gilks,34,goalkeeper,-,Rangers,free transfer,2016,Burnley
Luke Conlan,21,defender,-,Morecambe FC,free transfer,2016,Burnley
Joey Barton,33,midfielder,-,Rangers,free transfer,2016,Burnley
George Green,20,midfielder,-,Kilmarnock FC,loan transfer,2016,Burnley
Alex Whitmore,20,defender,-,Morecambe FC,loan transfer,2016,Burnley
Ntumba Massanka,19,forward,-,Morecambe FC,loan transfer,2016,Burnley
Ntumba Massanka,20,forward,-,Wrexham,loan transfer,2016,Burnley
Tom Anderson,22,defender,€175k,Chesterfield FC,loan transfer,2016,Burnley
George Green,21,midfielder,-,Salford,loan transfer,2016,Burnley
Michael Kightly,31,forward,-,Burton Albion,loan transfer,2016,Burnley
Lukas Jutkiewicz,27,forward,€250k,Birmingham,loan transfer,2016,Burnley
Chris Long,21,forward,€250k,Bolton,loan transfer,2016,Burnley
Rouwen Hennings,28,forward,€200k,F. Düsseldorf,loan transfer,2016,Burnley
Fredrik Ulvestad,24,midfielder,€600k,Charlton,loan transfer,2016,Burnley
Luke Hendrie,21,defender,€100k,Kilmarnock FC,loan transfer,2016,Burnley
Aiden O'Neill,18,midfielder,€1.50m,Oldham Athletic,loan transfer,2016,Burnley
Chris Long,21,forward,€250k,Fleetwood,loan transfer,2016,Burnley
Danny Lafferty,27,defender,-,Sheff Utd,loan transfer,2016,Burnley
Michael Duff,38,defender,-,Retired,-,2016,Burnley
Jon Flanagan,24,defender,-,Liverpool,"End of loanMay 31, 2017",2016,Burnley
Patrick Bamford,23,forward,€4.00m,Chelsea,"End of loanJan 14, 2017",2016,Burnley
Junior Stanislas,24,forward,-,Bournemouth,free transfer,2014,Burnley
Joseph Mills,24,defender,-,Oldham Athletic,free transfer,2014,Burnley
Chris Baird,32,midfielder,-,West Brom,free transfer,2014,Burnley
Micah Evans,21,forward,-,Southport,free transfer,2014,Burnley
Kyle Brownhill,19,defender,-,Hyde FC,free transfer,2014,Burnley
Nick Liversedge,26,goalkeeper,-,Guisborough,free transfer,2014,Burnley
David Edgar,27,defender,-,Birmingham,free transfer,2014,Burnley
Brian Stock,32,midfielder,-,Havant & Water.,free transfer,2014,Burnley
Luke Gallagher,20,defender,-,Shelbourne,free transfer,2014,Burnley
Keith Treacy,25,midfielder,-,Barnsley FC,free transfer,2014,Burnley
Alex Cisak,25,goalkeeper,-,Leyton Orient,loan transfer,2014,Burnley
Tom Anderson,21,defender,€175k,Carlisle United,loan transfer,2014,Burnley
Steven Hewitt,21,midfielder,-,Southport,loan transfer,2014,Burnley
Luke O'Neill,22,defender,-,Scunthorpe Utd.,loan transfer,2014,Burnley
Jadan Hall,20,forward,-,Chester,loan transfer,2014,Burnley
Luke O'Neill,23,defender,-,Leyton Orient,loan transfer,2014,Burnley
Alex Cisak,25,goalkeeper,-,York City,loan transfer,2014,Burnley
Tom Anderson,21,defender,€175k,Lincoln City,loan transfer,2014,Burnley
Danny Lafferty,25,defender,-,Rotherham,loan transfer,2014,Burnley
Archie Love,20,midfielder,-,Without Club,-,2014,Burnley
Callum Richardson,19,defender,-,Without Club,-,2014,Burnley
Michael Keane,22,defender,€6.00m,Man Utd U21,"End of loanJan 11, 2015",2014,Burnley
Nathaniel Chalobah,20,midfielder,€1.20m,Chelsea,"End of loanJan 2, 2015",2014,Burnley
Besart Berisha,24,forward,-,Arm. Bielefeld,€90k,2009,Burnley
Alan Mahon,31,midfielder,-,Tranmere Rovers,free transfer,2009,Burnley
Kevin Okanga-Ajwang,17,defender,-,Sparta Oborniki,free transfer,2009,Burnley
Gábor Király,33,goalkeeper,-,1860 Munich,free transfer,2009,Burnley
Adam Kay,19,midfielder,-,Chester City,loan transfer,2009,Burnley
Chris Lynch,18,defender,-,Chester City,loan transfer,2009,Burnley
Jonathan Lund,21,goalkeeper,-,Rotherham,loan transfer,2009,Burnley
Richard Eckersley,20,defender,-,Plymouth,loan transfer,2009,Burnley
David Edgar,22,defender,-,Swansea,loan transfer,2009,Burnley
Jay Rodríguez,20,forward,€1.00m,Barnsley FC,loan transfer,2009,Burnley
Wes Fletcher,18,forward,-,Grimsby Town,loan transfer,2009,Burnley
Alex MacDonald,19,midfielder,€100k,Falkirk,loan transfer,2009,Burnley
Jonathan Lund,21,goalkeeper,-,Barnsley FC,loan transfer,2009,Burnley
Brian Easton,21,defender,-,Hamilton Acad.,loan transfer,2009,Burnley
Remco van der Schaaf,30,defender,-,Bröndby IF,loan transfer,2009,Burnley
Christian Kalvenes,33,defender,-,Without Club,-,2009,Burnley
Jack Cork,20,midfielder,€800k,Chelsea Res.,"End of loanMay 31, 2010",2009,Burnley
Fernando Guerrero,20,forward,-,Independiente,"End of loanMar 1, 2010",2009,Burnley
David Nugent,25,forward,-,Portsmouth,"End of loanMay 31, 2010",2009,Burnley
Matty Kennedy,23,forward,€350k,St. Johnstone,free transfer,2018,Cardiff City
Ben Wilson,25,goalkeeper,€800k,Bradford,free transfer,2018,Cardiff City
Anthony Pilkington,30,forward,-,Wigan,free transfer,2018,Cardiff City
Lee Camp,33,goalkeeper,-,Birmingham,free transfer,2018,Cardiff City
Ibrahim Meite,22,forward,-,Crawley Town,free transfer,2018,Cardiff City
Jack McKay,22,forward,-,Chesterfield FC,loan transfer,2018,Cardiff City
Stuart O'Keefe,27,midfielder,-,Plymouth,loan transfer,2018,Cardiff City
Omar Bogle,25,forward,€225k,Portsmouth,loan transfer,2018,Cardiff City
Gary Madine,28,forward,€100k,Sheff Utd,loan transfer,2018,Cardiff City
Rhys Healey,23,forward,€1.20m,MK Dons,loan transfer,2018,Cardiff City
Ciaron Brown,21,defender,€600k,Livingston FC,loan transfer,2018,Cardiff City
Lee Tomlin,29,forward,-,Peterborough,loan transfer,2018,Cardiff City
Paul McKay,22,defender,-,Morecambe FC,loan transfer,2018,Cardiff City
Omar Bogle,25,forward,€225k,Birmingham,loan transfer,2018,Cardiff City
Greg Halford,33,defender,-,Without Club,-,2018,Cardiff City
Chris Konopka,33,goalkeeper,-,Without Club,-,2018,Cardiff City
Frédéric Gounongbe,30,forward,-,Without Club,-,2018,Cardiff City
Harry Arter,29,midfielder,€400k,Bournemouth,"End of loanMay 31, 2019",2018,Cardiff City
Andreas Cornelius,20,forward,€1.00m,FC Copenhagen,€3.50m,2013,Cardiff City
Rudy Gestede,25,forward,-,Blackburn,€240k,2013,Cardiff City
Nathaniel Jarvis,21,forward,-,Brackley,free transfer,2013,Cardiff City
Elliot Parish,23,goalkeeper,-,Bristol City,free transfer,2013,Cardiff City
Peter Odemwingie,32,forward,-,Stoke City,free transfer,2013,Cardiff City
Jesse Darko,20,forward,-,AO Episkopi,free transfer,2013,Cardiff City
Simon Moore,23,goalkeeper,€200k,Bristol City,loan transfer,2013,Cardiff City
Kevin McNaughton,31,defender,-,Bolton,loan transfer,2013,Cardiff City
Dave Richards,19,goalkeeper,€75k,Bristol City,loan transfer,2013,Cardiff City
Adedeji Oshilaja,20,midfielder,€275k,Sheff Wed,loan transfer,2013,Cardiff City
Kadeem Harris,20,forward,€250k,Brentford,loan transfer,2013,Cardiff City
Craig Conway,28,midfielder,-,Brighton,loan transfer,2013,Cardiff City
Joe Mason,22,forward,€100k,Bolton,loan transfer,2013,Cardiff City
Simon Lappin,30,midfielder,-,Sheff Utd,loan transfer,2013,Cardiff City
Rudy Gestede,25,forward,-,Blackburn,loan transfer,2013,Cardiff City
Nicky Maynard,27,forward,-,Wigan,loan transfer,2013,Cardiff City
Adedeji Oshilaja,20,midfielder,€275k,Newport County,loan transfer,2013,Cardiff City
John Brayford,26,defender,-,Sheff Utd,loan transfer,2013,Cardiff City
Joe Mason,22,forward,€100k,Bolton,loan transfer,2013,Cardiff City
Joe Ralls,19,midfielder,€1.20m,Yeovil Town,loan transfer,2013,Cardiff City
Ben Nugent,20,defender,€125k,Brentford,loan transfer,2013,Cardiff City
Ben Nugent,21,defender,€125k,Peterborough,loan transfer,2013,Cardiff City
Dave Richards,20,goalkeeper,€75k,Bristol City,?,2013,Cardiff City
Craig Conway,28,midfielder,-,Blackburn,?,2013,Cardiff City
Etien Velikonja,25,forward,-,Rio Ave,loan transfer,2013,Cardiff City
Filip Kiss,23,midfielder,€500k,Ross County,loan transfer,2013,Cardiff City
Stephen McPhail,33,midfielder,-,Without Club,-,2013,Cardiff City
Heidar Helguson,35,forward,-,Career break,-,2013,Cardiff City
Wilfried Zaha,21,forward,€11.00m,Man Utd,"End of loanMay 31, 2014",2013,Cardiff City
Djimi Traoré,26,defender,-,Portsmouth,€1.40m,2006,Charlton
Stephan Andersen,25,goalkeeper,-,Bröndby IF,€600k,2006,Charlton
Ismaël Fofana,18,forward,-,Fredrikstad,Loan fee:€275k,2006,Charlton
Francis Jeffers,25,forward,-,Blackburn,free transfer,2006,Charlton
Mark Ricketts,21,midfielder,-,GNFC,free transfer,2006,Charlton
Barry Fuller,21,defender,-,Stevenage Bor.,free transfer,2006,Charlton
Shaun Bartlett,33,forward,-,Kaizer Chiefs,free transfer,2006,Charlton
Chris Powell,36,defender,-,Watford,free transfer,2006,Charlton
Chris Perry,33,defender,-,West Brom,free transfer,2006,Charlton
Jay Bothroyd,24,forward,-,Wolves,free transfer,2006,Charlton
Gonzalo Sorondo,27,defender,-,Defensor SC,free transfer,2006,Charlton
Jonatan Johansson,30,forward,-,Malmö FF,free transfer,2006,Charlton
Jason Euell,29,forward,-,Middlesbrough,free transfer,2006,Charlton
Adam Cottrell,19,defender,-,Millwall,free transfer,2006,Charlton
Myles Weston,19,forward,-,Notts County,free transfer,2006,Charlton
Jonathan Fortune,26,defender,-,Stoke City,loan transfer,2006,Charlton
Alistair John,19,midfielder,-,Torquay,loan transfer,2006,Charlton
Alistair John,18,midfielder,-,Brighton,loan transfer,2006,Charlton
Kelly Youga,21,defender,-,Bradford,loan transfer,2006,Charlton
Nathan Ashton,20,defender,-,Millwall,loan transfer,2006,Charlton
Jonathan Fortune,26,defender,-,Stoke City,loan transfer,2006,Charlton
James Walker,19,forward,-,Notts County,loan transfer,2006,Charlton
James Walker,18,forward,-,Leyton Orient,loan transfer,2006,Charlton
James Walker,18,forward,-,Bristol Rovers,loan transfer,2006,Charlton
Darren Randolph,19,goalkeeper,€300k,Gillingham FC,loan transfer,2006,Charlton
