Club Name,Expenditure,Arrivals,Income,Departures,Balance,Year
Bradford City,€8.14m,29,€1.19m,24,€-6.95m,1998
Brentford FC,€33.00m,3,-,5,€-33.00m,2024
Brentford FC,€105.35m,22,€10.09m,21,€-95.26m,2023
Brentford FC,€121.60m,42,€13.69m,37,€-107.91m,2022
Brentford FC,€87.45m,42,€4.60m,36,€-82.85m,2021
Brentford FC,€45.50m,32,€63.00m,34,€17.50m,2020
Brentford FC,€41.95m,35,€96.26m,36,€54.31m,2019
Brentford FC,€41.20m,38,€69.21m,33,€28.01m,2018
Brighton & Hove Albion,€19.50m,7,-,2,€-19.50m,2024
Brighton & Hove Albion,€129.00m,41,€195.90m,28,€66.90m,2023
Brighton & Hove Albion,€165.20m,55,€334.30m,49,€169.10m,2022
Brighton & Hove Albion,€130.70m,47,€217.20m,52,€86.50m,2021
Brighton & Hove Albion,€125.10m,54,€99.40m,51,€-25.70m,2020
Brighton & Hove Albion,€111.84m,53,€29.10m,52,€-82.74m,2019
Brighton & Hove Albion,€152.36m,53,€22.12m,59,€-130.24m,2018
Brighton & Hove Albion,€160.62m,51,€14.02m,51,€-146.60m,2017
Brighton & Hove Albion,€78.75m,44,€400k,43,€-78.35m,2016
Brighton & Hove Albion,€8.21m,56,€3.38m,54,€-4.83m,2011
Bristol City,€32.95m,52,€52.84m,49,€19.89m,2019
Bristol City,€43.10m,55,€78.24m,51,€35.14m,2018
Burnley FC,€30.00m,7,-,6,€-30.00m,2024
Burnley FC,€141.05m,35,€3.80m,27,€-137.25m,2023
Burnley FC,€154.25m,59,€80.26m,51,€-73.99m,2022
Burnley FC,€92.60m,39,€116.96m,36,€24.36m,2021
Burnley FC,€50.50m,14,€42.80m,12,€-7.70m,2020
Burnley FC,€24.95m,14,€15.85m,17,€-9.10m,2019
Burnley FC,€56.85m,18,€21.55m,24,€-35.30m,2018
Burnley FC,€68.74m,30,€58.00m,35,€-10.74m,2017
Burnley FC,€81.34m,47,€51.20m,48,€-30.14m,2016
Burnley FC,€71.31m,49,€21.90m,49,€-49.41m,2015
Burnley FC,€38.33m,46,€20.70m,46,€-17.63m,2014
Burnley FC,€13.17m,49,€4.65m,49,€-8.52m,2013
Burnley FC,€9.35m,51,€12.95m,58,€3.60m,2010
Burnley FC,€19.87m,52,€7.29m,45,€-12.58m,2009
Burnley FC,€17.57m,49,€4.59m,36,€-12.98m,2008
Charlton Athletic,€35.19m,73,€42.37m,77,€7.18m,2006
Charlton Athletic,€30.75m,64,€7.99m,57,€-22.77m,2005
Charlton Athletic,€22.35m,48,€7.66m,41,€-14.69m,2004
Charlton Athletic,€14.75m,37,€16.95m,37,€2.20m,2003
Charlton Athletic,€8.25m,32,€17.65m,30,€9.40m,2002
Charlton Athletic,€20.25m,26,€4.03m,29,€-16.23m,2001
Charlton Athletic,€34.30m,29,€1.91m,33,€-32.39m,2000
Charlton Athletic,€24.87m,29,€7.35m,36,€-17.52m,1999
Charlton Athletic,€10.26m,33,€7.12m,31,€-3.14m,1998
Chelsea FC,€471.80m,39,€302.00m,33,€-169.80m,2023
Chelsea FC,€1.10bn,57,€337.36m,56,€-764.79m,2022
Chelsea FC,€748.35m,49,€222.55m,48,€-525.81m,2021
Chelsea FC,€365.20m,52,€211.84m,49,€-153.37m,2020
Chelsea FC,€292.20m,53,€220.22m,55,€-71.98m,2019
Chelsea FC,€253.80m,52,€246.32m,60,€-7.48m,2018
Chelsea FC,€469.30m,70,€277.85m,62,€-191.45m,2017
Chelsea FC,€393.30m,67,€303.50m,61,€-89.80m,2016
Chelsea FC,€229.30m,66,€196.39m,67,€-32.91m,2015
Chelsea FC,€234.20m,81,€230.30m,85,€-3.90m,2014
Chelsea FC,€268.05m,80,€220.74m,84,€-47.31m,2013
Chelsea FC,€240.05m,67,€103.38m,64,€-136.67m,2012
Chelsea FC,€206.15m,51,€57.01m,50,€-149.14m,2011
Chelsea FC,€217.95m,41,€48.06m,43,€-169.89m,2010
Chelsea FC,€151.50m,35,€20.30m,33,€-131.20m,2009
Chelsea FC,€60.50m,31,€48.35m,29,€-12.15m,2008
Chelsea FC,€89.50m,35,€88.20m,33,€-1.30m,2007
Chelsea FC,€147.98m,38,€96.25m,33,€-51.73m,2006
Chelsea FC,€180.48m,33,€87.20m,35,€-93.28m,2005
Chelsea FC,€253.90m,36,€37.90m,43,€-216.00m,2004
Chelsea FC,€336.10m,45,€4.25m,48,€-331.85m,2003
Chelsea FC,€173.70m,35,€3.05m,33,€-170.65m,2002
Chelsea FC,€49.70m,21,€16.42m,26,€-33.28m,2001
Chelsea FC,€102.09m,34,€52.04m,35,€-50.05m,2000
Chelsea FC,€78.75m,44,€45.60m,36,€-33.15m,1999
Chelsea FC,€45.66m,35,€15.93m,33,€-29.73m,1998
Chelsea FC,€37.10m,27,€8.40m,26,€-28.70m,1997
Chelsea FC,€33.37m,27,€4.94m,26,€-28.43m,1996
Chelsea FC,€17.47m,26,€6.43m,25,€-11.04m,1995
